[i] Train : 19922
[i] Valid : 2214
[i] prediction_op : Tensor("concat:0", shape=(?, 7, 7, 2, 25), dtype=float32)
[i] max_iteration : 249000
[i] decay_iteration : [124500 186750]
[i] iter : 1550, loss : 21.9937, xy_loss : 1.2238, wh_loss : 0.3162, obj_loss : 0.2158, noobj_loss : 9.2784, class_loss : 1.5403, l2_reg_loss : 9.4192, train_time : 44sec
[i] iter : 1600, loss : 21.8481, xy_loss : 1.1544, wh_loss : 0.2631, obj_loss : 0.2236, noobj_loss : 9.2396, class_loss : 1.5586, l2_reg_loss : 9.4088, train_time : 44sec
[i] iter : 1650, loss : 21.6136, xy_loss : 1.1393, wh_loss : 0.2395, obj_loss : 0.2142, noobj_loss : 9.1806, class_loss : 1.4416, l2_reg_loss : 9.3985, train_time : 44sec
[i] iter : 1700, loss : 22.0952, xy_loss : 1.2290, wh_loss : 0.2983, obj_loss : 0.2570, noobj_loss : 9.1191, class_loss : 1.8035, l2_reg_loss : 9.3882, train_time : 43sec
[i] iter : 1750, loss : 21.6347, xy_loss : 1.1624, wh_loss : 0.2698, obj_loss : 0.2206, noobj_loss : 9.0993, class_loss : 1.5046, l2_reg_loss : 9.3780, train_time : 43sec
[i] iter : 1800, loss : 21.4289, xy_loss : 1.1395, wh_loss : 0.2497, obj_loss : 0.2182, noobj_loss : 9.0121, class_loss : 1.4417, l2_reg_loss : 9.3677, train_time : 43sec
[i] iter : 1850, loss : 21.3985, xy_loss : 1.1243, wh_loss : 0.2610, obj_loss : 0.2199, noobj_loss : 8.9723, class_loss : 1.4635, l2_reg_loss : 9.3574, train_time : 42sec
[i] iter : 1900, loss : 21.3686, xy_loss : 1.1795, wh_loss : 0.2634, obj_loss : 0.2235, noobj_loss : 8.8489, class_loss : 1.5061, l2_reg_loss : 9.3472, train_time : 42sec
[i] iter : 1950, loss : 21.0685, xy_loss : 1.0900, wh_loss : 0.2490, obj_loss : 0.2081, noobj_loss : 8.8380, class_loss : 1.3465, l2_reg_loss : 9.3369, train_time : 42sec
[i] iter : 2000, loss : 20.9312, xy_loss : 1.0624, wh_loss : 0.2519, obj_loss : 0.2013, noobj_loss : 8.7822, class_loss : 1.3067, l2_reg_loss : 9.3266, train_time : 42sec
[i] iter : 2050, loss : 20.8592, xy_loss : 1.0890, wh_loss : 0.2420, obj_loss : 0.2039, noobj_loss : 8.6888, class_loss : 1.3192, l2_reg_loss : 9.3163, train_time : 41sec
[i] iter : 2100, loss : 20.7711, xy_loss : 1.0722, wh_loss : 0.2239, obj_loss : 0.2036, noobj_loss : 8.6912, class_loss : 1.2741, l2_reg_loss : 9.3061, train_time : 41sec
